name	type	units	low_cutoff	high_cutoff	sampling_frequency	description	status	status_description
iEEG01	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG02	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG03	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG04	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG05	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG06	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG07	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG08	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG09	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG10	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG11	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG12	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG13	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG14	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG15	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG16	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG17	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG18	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG19	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG20	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG21	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG22	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG23	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG24	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG25	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG26	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG27	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG28	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG29	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG30	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG31	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG32	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG33	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG34	SEEG	µV	0.5	150	1024.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
